"","State","Tornado Count","Total loss","Deaths","Change"
"1","AK",0,0,0,"plus"
"2","AL",31,1.335,0,"plus"
"3","AR",20,3.485,2,"plus"
"4","AS",0,0,0,"plus"
"5","AZ",5,0,0,"plus"
"6","CA",10,20.025,0,"minus"
"7","CO",54,0.2295,0,"plus"
"8","CT",0,0,0,"plus"
"9","DC",0,0,0,"plus"
"10","DE",1,0.2,0,"plus"
"11","FL",30,0.342,0,"plus"
"12","GA",23,0.683,0,"plus"
"13","GU",0,0,0,"plus"
"14","HI",1,0,0,"plus"
"15","IA",59,5.533,0,"plus"
"16","ID",1,0,0,"plus"
"17","IL",67,50.989,2,"minus"
"18","IN",21,1.044,0,"plus"
"19","KS",126,10.884,0,"minus"
"20","KY",17,0.79,0,"plus"
"21","LA",29,1.167,0,"plus"
"22","MA",2,0.045,0,"plus"
"23","MD",4,0.518,0,"plus"
"24","ME",0,0,0,"plus"
"25","MI",14,5.341,0,"plus"
"26","MN",39,3.22,0,"plus"
"27","MO",47,2.057,0,"plus"
"28","MS",45,15.322,11,"minus"
"29","MT",3,0.05,0,"plus"
"30","NC",9,0.2275,0,"plus"
"31","ND",30,0.165,0,"plus"
"32","NE",23,2.25,0,"plus"
"33","NH",1,0,0,"plus"
"34","NJ",0,0,0,"plus"
"35","NM",6,0.12,0,"plus"
"36","NV",1,0,0,"plus"
"37","NY",2,0.035,0,"plus"
"38","OH",7,0.89,0,"plus"
"39","OK",108,59.32,2,"minus"
"40","OR",1,0.025,0,"plus"
"41","PA",12,5.265,0,"plus"
"42","PR",0,0,0,"plus"
"43","RI",0,0,0,"plus"
"44","SC",8,1.795,0,"plus"
"45","SD",24,1.735,0,"plus"
"46","TN",16,5.845,2,"plus"
"47","TX",241,114.77,17,"minus"
"48","UT",2,0,0,"plus"
"49","VA",7,0.124,0,"plus"
"50","VI",0,0,0,"plus"
"51","VT",0,0,0,"plus"
"52","WA",2,0.311,0,"plus"
"53","WI",17,0.5181,0,"plus"
"54","WV",3,0.425,0,"plus"
"55","WY",8,0,0,"plus"
